source,target,value
"inj_trans_road_pedest","Amputation of finger (excluding thumb)",.7320833
"inj_mech_gun","Amputation of finger (excluding thumb)",.1881734
"inj_mech_suffocate","Amputation of finger (excluding thumb)",.2182524
"inj_falls","Amputation of finger (excluding thumb)",.5926545
"inj_homicide_other","Amputation of finger (excluding thumb)",.0544592
"inj_trans_road_pedal","Amputation of finger (excluding thumb)",.1420496
"inj_trans_road_2wheel","Amputation of finger (excluding thumb)",.1968276
"inj_homicide_gun","Amputation of finger (excluding thumb)",.0237152
"inj_foreign_aspiration","Amputation of finger (excluding thumb)",.0418138
"inj_animal_nonven","Amputation of finger (excluding thumb)",.0854234
